wals_code,Name,latitude,longitude,countrycodes,elev-ft,elev-m
psh,Pashto,33,67,AF PK,9370.1,2856.00648
psm,Passamaquoddy-Maliseet,45,-67,US CA,0,0
pso,Pomo (Southeastern),39,-122.5,US,1485.2,452.68896
puk,Parauk,23.25,99.5,MM CN,4809.7,1465.99656
pur,Pur??pecha,19.5,-101.6666667,MX,7292.2,2222.66256
qaw,Qawasqar,-49,-75,CL,446.2,136.00176
qco,Quechua (Cochabamba),-17.5,-66,BO,11256.6,3431.01168
qui,Quileute,47.91666667,-124.25,US,775.9,236.49432
ram,Rama,11.75,-83.75,NI,88.6,27.00528
rap,Rapanui,-27.11666667,-109.3666667,CL,794,242.0112
res,Res??garo,-2.416666667,-71.5,PE CO,383.9,117.01272
rom,Romanian,46,25,RO,1889.8,576.01104
ror,Roro,-8.75,146.5833333,PG,16.4,4.99872
rsc,Romansch (Scharans),46.75,9.5,CH,6030.2,1838.00496
rtk,Rotokas,-6,155.1666667,PG,2782.1,847.98408
ruk,Rukai (Tanan),22.83333333,120.8333333,TW,4288.1,1307.01288
rus,Russian,56,38,RU,587.3,179.00904
rut,Rutul,41.5,47.41666667,RU AZ,7647.6,2330.98848
sab,Sa'ban,3.666666667,115.6666667,ID,3763.1,1146.99288
san,Sango,5,18,CF,2149,655.0152
sba,S?­liba (in Colombia),6,-70,VR CO,344.5,105.0036
scs,Saami (Central-South),64.66666667,16.75,SE,1289.4,393.00912
sdh,Sindhi,26,69,PK IN,65.6,19.99488
sdw,Sandawe,-5,35,TZ,4206,1281.9888
seb,Sebei,1.333333333,34.58333333,UG,8989.5,2739.9996
sed,Sedang,14.83333333,108,VN,4124,1256.9952
sel,Selknam,-53,-70,AR,213.3,65.01384
sha,Shan,22,98,MM,2926.5,891.9972
shi,Shiriana,3.5,-62.83333333,VR BR,2621.4,799.00272
shk,Shipibo-Konibo,-7.5,-75,PE,472.4,143.98752
shs,Shasta,41.83333333,-122.6666667,US,1953.2,595.33536
shu,Shuswap,52,-120,CA,3323.1,1012.88088
sin,Siona,0.333333333,-76.25,EC CO,836.6,254.99568
skp,Selkup,65,82,RU,98.4,29.99232
sla,Slave,67,-125,CA,1047.3,319.21704
slp,Selepet,-6.166666667,147.1666667,PG,5623.4,1714.01232
